ticker,name,sector,asset_class,weight_pct,market_value
NVDA,NVIDIA,Information Technology,Equity,6.89,3365324992.7
AAPL,APPLE,Information Technology,Equity,6.39,3118317203.4
MSFT,MICROSOFT,Information Technology,Equity,5.2,2537477689.53
AMZN,AMAZON.COM INC,Consumer Discretionary,Equity,3.56,1737348177.6
GOOGL,ALPHABET CLASS A,Communication,Equity,2.81,1371199068.0
AVGO,BROADCOM INC,Information Technology,Equity,2.33,1138258524.78
GOOG,ALPHABET CLASS C,Communication,Equity,2.27,1109415836.8
META,META PLATFORMS CLASS A,Communication,Equity,1.79,871411750.0
MU,MICRON TECHNOLOGY,Information Technology,Equity,1.49,727860576.0
TSLA,TESLA INC,Consumer Discretionary,Equity,1.42,695122061.58
JPM,JPMORGAN CHASE & CO,Financials,Equity,1.34,655891195.5
LLY,ELI LILLY,Health Care,Equity,1.34,653394057.63
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,1.33,646988644.54
AMD,ADVANCED MICRO DEVICES,Information Technology,Equity,1.1,538273207.62
XOM,EXXONMOBIL HOLDINGS CORP,Energy,Equity,0.93,452991776.67
JNJ,JOHNSON & JOHNSON,Health Care,Equity,0.92,447661620.0
V,VISA CLASS A,Financials,Equity,0.89,436171824.0
MA,MASTERCARD CLASS A,Financials,Equity,0.68,332647580.1
ABBV,ABBVIE,Health Care,Equity,0.66,320279239.5
WMT,WALMART INC,Consumer Staples,Equity,0.65,315139354.08
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,0.63,305459873.52
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,0.6,291963671.56
BAC,BANK OF AMERICA,Financials,Equity,0.58,283194541.56
INTC,INTEL CORPORATION,Information Technology,Equity,0.57,277410147.36
PLTR,PALANTIR TECHNOLOGIES CLASS A,Information Technology,Equity,0.56,271213965.0
LRCX,LAM RESEARCH,Information Technology,Equity,0.55,269058340.08
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,0.54,261704762.16
MRK,MERCK & CO INC,Health Care,Equity,0.53,260755480.1
CAT,CATERPILLAR INC,Industrials,Equity,0.53,256901618.87
CVX,CHEVRON,Energy,Equity,0.52,255416305.82
GE,GE AEROSPACE,Industrials,Equity,0.52,251873123.97
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,0.51,249176385.72
KO,COCA-COLA,Consumer Staples,Equity,0.49,240997509.76
NFLX,NETFLIX,Communication,Equity,0.48,235054947.96
PG,PROCTER & GAMBLE,Consumer Staples,Equity,0.48,232742255.0
HD,HOME DEPOT,Consumer Discretionary,Equity,0.47,229840705.15
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,0.43,208280946.0
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,0.42,206452235.04
RTX,RTX,Industrials,Equity,0.4,196794556.8
PANW,PALO ALTO NETWORKS,Information Technology,Equity,0.39,188269546.6
WFC,WELLS FARGO,Financials,Equity,0.37,179712483.57
GEV,GE VERNOVA INC,Industrials,Equity,0.36,176456988.78
ORCL,ORACLE,Information Technology,Equity,0.36,175577873.48
KLAC,KLA,Information Technology,Equity,0.34,165457294.48
MS,MORGAN STANLEY,Financials,Equity,0.34,164925733.44
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,0.34,163862261.06
AMGN,AMGEN INC,Health Care,Equity,0.34,163645755.9
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,0.33,162223422.9
C,CITIGROUP INC,Financials,Equity,0.32,156410780.4
LIN,LINDE PLC,Materials,Equity,0.32,155678794.34
SNDK,SANDISK,Information Technology,Equity,0.31,150107928.18
IBM,INTERNATIONAL BUSINESS MACHINES,Information Technology,Equity,0.3,148814389.95
MRVL,MARVELL TECHNOLOGY,Information Technology,Equity,0.3,147025556.85
ANET,ARISTA NETWORKS INC,Information Technology,Equity,0.3,145330580.25
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,0.3,144452190.33
APH,AMPHENOL CORP CLASS A,Information Technology,Equity,0.28,136025592.66
ABT,ABBOTT LABORATORIES,Health Care,Equity,0.28,135928927.4
DIS,WALT DISNEY,Communication,Equity,0.27,133738842.93
PEP,PEPSICO,Consumer Staples,Equity,0.27,133412611.3
CRWD,CROWDSTRIKE HOLDINGS CLASS A,Information Technology,Equity,0.27,130656599.46
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,0.27,130564004.76
UNP,UNION PACIFIC,Industrials,Equity,0.26,126778310.52
GILD,GILEAD SCIENCES,Health Care,Equity,0.26,126519951.05
ADI,ANALOG DEVICES,Information Technology,Equity,0.26,125011801.2
BLK,BLACKROCK,Financials,Equity,0.25,123268001.49
SCHW,CHARLES SCHWAB,Financials,Equity,0.25,122934341.63
AXP,AMERICAN EXPRESS,Financials,Equity,0.25,122699792.25
NEE,NEXTERA ENERGY,Utilities,Equity,0.25,120870606.94
T,AT&T INC,Communication,Equity,0.25,120525924.09
QCOM,QUALCOMM,Information Technology,Equity,0.24,118781479.52
WELL,WELLTOWER,Real Estate,Equity,0.24,117441157.68
CRM,SALESFORCE,Information Technology,Equity,0.23,112424585.58
ETN,EATON PLC,Industrials,Equity,0.23,112097437.2
BKNG,BOOKING HOLDINGS,Consumer Discretionary,Equity,0.23,111224107.17
BA,BOEING,Industrials,Equity,0.23,110852231.94
PFE,PFIZER,Health Care,Equity,0.23,110844364.6
COP,CONOCOPHILLIPS,Energy,Equity,0.22,109562067.89
WDC,WESTERN DIGITAL CORP,Information Technology,Equity,0.22,109192774.4
DE,DEERE,Industrials,Equity,0.22,107877510.86
UBER,UBER TECHNOLOGIES,Industrials,Equity,0.22,105760644.09
TJX,TJX,Consumer Discretionary,Equity,0.21,104086307.34
NEM,NEWMONT,Materials,Equity,0.2,96710208.0
DELL,DELL TECHNOLOGIES INC CLASS C,Information Technology,Equity,0.2,96056194.36
VRTX,VERTEX PHARMACEUTICALS,Health Care,Equity,0.2,95755500.27
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,0.19,94935579.72
DHR,DANAHER,Health Care,Equity,0.19,93648003.84
COF,CAPITAL ONE FINANCIAL CORP,Financials,Equity,0.19,93232613.88
PLD,PROLOGIS REIT,Real Estate,Equity,0.19,92817249.42
PH,PARKER-HANNIFIN CORP,Industrials,Equity,0.19,90319207.12
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,0.18,89855001.92
PGR,PROGRESSIVE,Financials,Equity,0.18,89455917.81
SPGI,S&P GLOBAL INC,Financials,Equity,0.18,88875038.37
NOW,SERVICENOW INC,Information Technology,Equity,0.18,88844363.0
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,0.17,85182008.4
CVS,CVS HEALTH,Health Care,Equity,0.17,83282767.92
CB,CHUBB,Financials,Equity,0.17,83237717.64
GLW,CORNING,Information Technology,Equity,0.17,83198946.26
MDT,MEDTRONIC PLC,Health Care,Equity,0.17,81236728.32
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,0.17,81170140.68
MO,ALTRIA GROUP INC,Consumer Staples,Equity,0.16,79534863.36
LMT,LOCKHEED MARTIN CORP,Industrials,Equity,0.16,79063494.84
SYK,STRYKER,Health Care,Equity,0.16,78460470.99
FCX,FREEPORT MCMORAN INC,Materials,Equity,0.16,77858687.0
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,0.16,77404198.42
BNY,BANK OF NEW YORK MELLON CORP,Financials,Equity,0.16,77006212.92
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,0.16,76652820.42
ADBE,ADOBE INC,Information Technology,Equity,0.16,76079080.53
MCK,MCKESSON CORP,Health Care,Equity,0.16,75726575.75
HWM,HOWMET AEROSPACE,Industrials,Equity,0.15,73801045.38
BX,BLACKSTONE,Financials,Equity,0.15,73434535.2
MPC,MARATHON PETROLEUM,Energy,Equity,0.15,73409668.26
EQIX,EQUINIX REIT,Real Estate,Equity,0.15,73033457.28
SNOW,SNOWFLAKE,Information Technology,Equity,0.15,72727791.07
VLO,VALERO ENERGY CORP,Energy,Equity,0.15,70918769.16
TT,TRANE TECHNOLOGIES PLC,Industrials,Equity,0.14,70510480.6
CME,CME GROUP CLASS A,Financials,Equity,0.14,70042694.4
SO,SOUTHERN,Utilities,Equity,0.14,69745764.0
VRT,VERTIV HOLDINGS CLASS A,Industrials,Equity,0.14,69500216.88
PNC,PNC FINANCIAL SERVICES GROUP,Financials,Equity,0.14,67657371.75
GD,GENERAL DYNAMICS CORP,Industrials,Equity,0.14,67331789.04
